filename,class
285.jpg,Rearview_mirror
229.jpg,Forward
274.jpg,Right_wing_mirror
329.jpg,Right_wing_mirror
298.jpg,Centerstack
128.jpg,Right_wing_mirror
309.jpg,Rearview_mirror
412.jpg,Right_wing_mirror
215.jpg,Right_wing_mirror
80.jpg,Right_wing_mirror
471.jpg,Rearview_mirror
294.jpg,Left_wing_mirror
146.jpg,Left_wing_mirror
99.jpg,Centerstack
166.jpg,Rearview_mirror
257.jpg,Left_wing_mirror
418.jpg,Forward
450.jpg,Forward
38.jpg,Right_wing_mirror
438.jpg,Rearview_mirror
383.jpg,Left_wing_mirror
252.jpg,Centerstack
245.jpg,Centerstack
406.jpg,Centerstack
344.jpg,Rearview_mirror
348.jpg,Centerstack
394.jpg,Forward
497.jpg,Right_wing_mirror
304.jpg,Forward
404.jpg,Right_wing_mirror
306.jpg,Centerstack
461.jpg,Forward
366.jpg,Centerstack
7.jpg,Centerstack
415.jpg,Left_wing_mirror
129.jpg,Centerstack
332.jpg,Right_wing_mirror
48.jpg,Left_wing_mirror
272.jpg,Forward
57.jpg,Centerstack
417.jpg,Centerstack
20.jpg,Rearview_mirror
268.jpg,Right_wing_mirror
240.jpg,Forward
32.jpg,Left_wing_mirror
85.jpg,Right_wing_mirror
310.jpg,Centerstack
22.jpg,Rearview_mirror
142.jpg,Left_wing_mirror
79.jpg,Centerstack
31.jpg,Forward
491.jpg,Centerstack
143.jpg,Rearview_mirror
155.jpg,Rearview_mirror
317.jpg,Left_wing_mirror
291.jpg,Left_wing_mirror
193.jpg,Centerstack
121.jpg,Rearview_mirror
55.jpg,Right_wing_mirror
200.jpg,Left_wing_mirror
189.jpg,Left_wing_mirror
260.jpg,Centerstack
23.jpg,Left_wing_mirror
181.jpg,Left_wing_mirror
120.jpg,Right_wing_mirror
56.jpg,Right_wing_mirror
331.jpg,Forward
94.jpg,Forward
431.jpg,Left_wing_mirror
243.jpg,Rearview_mirror
452.jpg,Forward
377.jpg,Centerstack
212.jpg,Forward
357.jpg,Left_wing_mirror
396.jpg,Forward
437.jpg,Left_wing_mirror
160.jpg,Forward
197.jpg,Forward
156.jpg,Right_wing_mirror
175.jpg,Right_wing_mirror
456.jpg,Left_wing_mirror
110.jpg,Left_wing_mirror
11.jpg,Forward
234.jpg,Right_wing_mirror
10.jpg,Left_wing_mirror
44.jpg,Right_wing_mirror
227.jpg,Centerstack
368.jpg,Centerstack
196.jpg,Left_wing_mirror
293.jpg,Right_wing_mirror
221.jpg,Left_wing_mirror
169.jpg,Rearview_mirror
159.jpg,Left_wing_mirror
473.jpg,Rearview_mirror
258.jpg,Rearview_mirror
289.jpg,Rearview_mirror
492.jpg,Rearview_mirror
470.jpg,Rearview_mirror
410.jpg,Right_wing_mirror
100.jpg,Left_wing_mirror
263.jpg,Centerstack
65.jpg,Centerstack
496.jpg,Centerstack
345.jpg,Right_wing_mirror
440.jpg,Rearview_mirror
387.jpg,Forward
365.jpg,Right_wing_mirror
363.jpg,Forward
464.jpg,Forward
423.jpg,Rearview_mirror
449.jpg,Forward
283.jpg,Forward
163.jpg,Centerstack
187.jpg,Rearview_mirror
183.jpg,Right_wing_mirror
